Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain,Ridge Predicted Stress,RFR Predicted Stress,XGB Predicted Stress,SVR Predicted Stress,ANN Predicted Stress,SGD Predicted Stress
0.001,150,0.010493736,650.4263916,0.001869564,639.9331032,778.8368564,619.1898,624.1837777,623.29175,615.9178292
0.001,150,0.01053419,650.454895,0.001910018,640.0850641,778.8367883,625.49664,624.3414022,623.3862,616.0802108
0.001,150,0.010551493,650.4609985,0.001927321,640.1500608,778.8367883,624.59735,624.4088214,623.42664,616.1496647
0.001,150,0.010550231,650.453125,0.001926059,640.1453203,778.8367883,624.59735,624.4039042,623.4237,616.1445991
0.001,150,0.010566873,650.4500122,0.001942701,640.207834,778.8371332,623.0977,624.4687478,623.4626,616.2113998
0.001,150,0.010616178,650.475769,0.001992006,640.3930427,778.8371332,623.2625,624.6608593,623.5777,616.4093092
0.001,150,0.010610604,650.4588623,0.001986432,640.3721046,778.8371332,623.2625,624.6391408,623.5647,616.3869352
0.001,150,0.010641651,650.4749756,0.002017479,640.4887291,778.840237,623.3769,624.760112,623.6372,616.5115573
0.001,150,0.010655854,650.4812012,0.002031682,640.5420811,778.844435,623.3769,624.8154524,623.67035,616.5685679
0.001,150,0.010669074,650.4790039,0.002044902,640.5917405,778.848615,623.4544,624.8669626,623.70123,616.6216327
0.001,150,0.010691172,650.4827271,0.002067001,640.6747529,778.8691495,623.3735,624.9530689,623.75287,616.7103377
0.001,150,0.010702769,650.4989624,0.002078597,640.7183119,778.9014522,623.3735,624.9982514,623.7799,616.7568839
0.001,150,0.010733031,650.5282593,0.002108859,640.8319877,778.9231213,623.3735,625.1161639,623.85065,616.878355
0.001,150,0.010758965,650.553894,0.002134793,640.9294058,778.9467301,623.4709,625.2172128,623.9112,616.9824536
0.001,150,0.010783833,650.5762939,0.002159661,641.0228196,778.9868551,624.27954,625.3141082,623.9693,617.0822733
0.001,150,0.010787553,650.5765991,0.002163381,641.0367934,779.0127048,624.27954,625.3286028,623.97797,617.0972053
0.001,150,0.010835075,650.5896606,0.002210903,641.2153044,779.0992634,626.90936,625.5137669,624.0889,617.2879577
0.001,150,0.010831244,650.5534668,0.002207072,641.2009137,779.0937662,626.90936,625.4988399,624.08,617.2725802
0.001,150,0.010866895,650.5392456,0.002242723,641.3348326,779.143204,622.53326,625.63775,624.16327,617.4156826
0.001,150,0.0108656,650.4979248,0.002241428,641.3299681,779.143204,622.53326,625.6327042,624.1602,617.4104845
0.001,150,0.010891866,650.4804688,0.002267694,641.4286333,779.2362527,627.54675,625.7350467,624.2216,617.5159158
0.001,150,0.010904155,650.4634399,0.002279983,641.4747955,779.251884,627.54675,625.7829294,624.2503,617.5652436
0.001,150,0.010932249,650.4794922,0.002308077,641.5803275,779.3118923,628.5686,625.8923945,624.31586,617.6780124
0.001,150,0.010976789,650.5114746,0.002352617,641.7476369,779.3591325,627.6314,626.0659397,624.4199,617.8567952
0.001,150,0.010958737,650.5159302,0.002334565,641.6798266,779.3445546,628.5686,625.9956021,624.37775,617.7843348
0.001,150,0.010997755,650.5594482,0.002373583,641.8263933,779.3603618,623.32324,626.1476313,624.4689,617.9409523
0.001,150,0.011001269,650.5846558,0.002377097,641.8395932,779.3603618,623.32324,626.1613232,624.4771,617.9550574
0.001,150,0.01105367,650.633667,0.002429498,642.0364316,779.3799267,624.9708,626.3654979,624.5994,618.1653941
0.001,150,0.011036364,650.6472168,0.002412193,641.9714274,779.3799267,624.4902,626.2980709,624.559,618.0959321
0.001,150,0.011065047,650.6785278,0.002440875,642.0791681,779.3629252,625.14874,626.4098271,624.62604,618.2110612
0.001,150,0.011085371,650.7120361,0.002461199,642.1555128,779.3618636,626.02155,626.4890173,624.6735,618.2926413
0.001,150,0.011110848,650.746521,0.002486676,642.2512143,779.3418582,625.6356,626.5882856,624.73303,618.3949055
0.001,150,0.011134004,650.7772217,0.002509832,642.3381972,779.3249133,627.5448,626.6785103,624.7871,618.4878533
0.001,150,0.011146679,650.7928467,0.002522507,642.3858094,779.3182424,630.0444,626.727897,624.8167,618.5387305
0.001,150,0.011179797,650.8223267,0.002555626,642.5102171,779.3114533,619.2386,626.8569415,624.89404,618.6716696
0.001,150,0.011184555,650.8096924,0.002560383,642.5280863,779.3114533,619.2386,626.8754766,624.90515,618.6907641
0.001,150,0.011214812,650.8007813,0.00259064,642.6417433,779.3112284,627.01965,626.9933697,624.9758,618.8122152
0.001,150,0.011224645,650.7758179,0.002600473,642.6786798,779.311449,627.01965,627.0316828,624.9988,618.8516846
0.001,150,0.011250618,650.7573242,0.002626446,642.7762444,779.3204176,627.149,627.1328837,625.05945,618.9559398
0.001,150,0.011269053,650.7536011,0.002644882,642.8454972,779.3308419,626.7299,627.2047175,625.1025,619.0299416
0.001,150,0.01131101,650.7776489,0.002686838,643.0031001,779.4345983,626.79944,627.3681944,625.2005,619.1983522
0.001,150,0.011297491,650.7745361,0.00267332,642.9523213,779.3593691,626.46906,627.315523,625.16895,619.1440912
0.001,150,0.011324176,650.7948608,0.002700004,643.0525567,779.4605766,626.1347,627.4194942,625.23126,619.2512003
0.001,150,0.011356814,650.8296509,0.002732642,643.1751576,779.4698427,627.1024,627.5466646,625.3075,619.3822086
0.001,150,0.011356999,650.8295288,0.002732827,643.1758526,779.4698427,627.1024,627.5473854,625.3079,619.3829512
0.001,150,0.011391193,650.8547974,0.002767021,643.3042984,779.4711242,627.5557,627.6806185,625.3878,619.5202053
0.001,150,0.011405577,650.8669434,0.002781405,643.3583303,779.4738957,627.5557,627.7366641,625.4214,619.5779424
0.001,150,0.011419646,650.8734741,0.002795474,643.4111789,779.474773,626.6532,627.7914824,625.4542,619.6344151
0.001,150,0.01143373,650.8765259,0.002809558,643.4640838,779.474773,627.8791,627.8463591,625.4871,619.690948
0.001,150,0.011469853,650.9030151,0.002845681,643.5997758,779.5063922,628.4683,627.9871084,625.5715,619.8359451
0.001,150,0.011481467,650.9100342,0.002857295,643.6434025,779.5157929,629.34344,628.032361,625.59863,619.8825635
0.001,150,0.011513767,650.9315186,0.002889595,643.7647337,779.5829886,628.8918,628.1582144,625.674,620.0122151
0.001,150,0.011515007,650.9457397,0.002890836,643.7693954,779.5829886,628.8918,628.1630498,625.67694,620.0171964
0.001,150,0.011538278,650.9671021,0.002914106,643.8568065,779.620143,631.5301,628.2537187,625.7313,620.1106018
0.001,150,0.011569411,650.9856567,0.002945239,643.9737541,779.6824887,632.6316,628.375025,625.804,620.2355691
0.001,150,0.011590293,650.9976807,0.002966121,644.052195,779.6855369,626.6034,628.4563893,625.8527,620.3193891
0.001,150,0.011592454,650.9973755,0.002968282,644.0603125,779.6855369,626.6034,628.4648094,625.8578,620.3280633
0.001,150,0.011627994,651.0141602,0.003003822,644.1938145,779.6783034,635.9456,628.6032871,625.9408,620.4707202
0.001,150,0.011638779,651.0185547,0.003014607,644.2343271,779.6780937,635.9456,628.6453096,625.966,620.514011
0.001,150,0.011665626,651.0357056,0.003041455,644.3351786,779.6722745,627.5969,628.7499199,626.02875,620.6217784
0.001,150,0.011690328,651.0604858,0.003066156,644.4279651,779.6719035,629.54285,628.8461645,626.08636,620.7209277
0.001,150,0.011703195,651.0693359,0.003079023,644.4762985,779.6713481,634.4178,628.8962994,626.11646,620.7725756
0.001,150,0.011720009,651.0320435,0.003095837,644.5394584,779.671453,635.7566,628.9618132,626.15576,620.8400667
0.001,150,0.011730639,651.0430298,0.003106467,644.5793888,779.671453,635.7566,629.0032318,626.18054,620.8827354
0.001,150,0.011750871,651.0733643,0.003126699,644.655388,779.671453,629.3875,629.0820636,626.2278,620.9639462
0.001,150,0.011776253,651.1009521,0.003152081,644.7507326,779.6734928,631.51587,629.1809617,626.28705,621.0658291
0.001,150,0.011793218,651.1392822,0.003169046,644.8144597,779.6756999,633.4192,629.2470639,626.3267,621.1339263
0.001,150,0.01182209,651.2345581,0.003197919,644.9229178,779.6799605,633.6179,629.3595643,626.3941,621.249822
0.001,150,0.011848205,651.2689209,0.003224033,645.0210121,779.7075383,634.8087,629.4613146,626.45514,621.3546432
0.001,150,0.011848131,651.2582397,0.003223959,645.0207341,779.7075383,634.8087,629.4610263,626.45496,621.3543461
0.001,150,0.011872104,651.2456665,0.003247933,645.1107897,779.7683086,638.2057,629.5544383,626.511,621.4505773
0.001,150,0.011905708,651.2221069,0.003281537,645.2370193,779.7831008,628.95953,629.6853725,626.5894,621.5854632
0.001,150,0.011929818,651.1871948,0.003305647,645.3275858,779.8224281,629.2169,629.7793144,626.64575,621.6822403
0.001,150,0.011952433,651.1467285,0.003328261,645.4125327,779.8364815,635.5178,629.8674273,626.69855,621.7730124
0.001,150,0.011967145,651.0992432,0.003342973,645.4677967,779.8469101,630.7073,629.924751,626.7329,621.8320661
0.001,150,0.011985538,651.0651855,0.003361366,645.5368879,779.8971784,636.1547,629.9964173,626.7759,621.9058953
0.001,150,0.012008268,651.0465698,0.003384097,645.6222743,779.9018583,636.1547,630.0849861,626.829,621.9971371
0.001,150,0.012025689,651.0380249,0.003401517,645.6877106,779.9301511,636.0502,630.1528611,626.8696,622.0670607
0.001,150,0.012050377,651.0423584,0.003426205,645.7804482,779.9840906,636.07996,630.2490552,626.9273,622.1661579
0.001,150,0.012056172,651.0593872,0.003432,645.8022165,779.987295,636.07996,630.2716347,626.94086,622.1894189
0.001,150,0.012086092,651.09021,0.003461921,645.9146113,780.026857,636.08777,630.3882186,627.01074,622.3095213
0.001,150,0.012077953,651.0944214,0.003453781,645.8840343,780.026857,636.08777,630.356502,626.9917,622.2768474
0.001,150,0.012131372,651.1394043,0.0035072,646.0846967,780.0512508,640.41284,630.5646431,627.11646,622.4912703
0.001,150,0.012139025,651.15625,0.003514853,646.1134444,780.0512508,640.41284,630.5944622,627.13434,622.5219893
0.001,150,0.012150925,651.1611328,0.003526753,646.1581454,780.0632838,640.7639,630.6408292,627.1622,622.5697557
0.001,150,0.012166347,651.1901855,0.003542176,646.2160801,780.065029,640.7639,630.7009232,627.1982,622.6316634
0.001,150,0.012193378,651.230896,0.003569206,646.3176152,780.0668955,636.1561,630.8062426,627.2613,622.7401613
0.001,150,0.012212305,651.2745361,0.003588133,646.3887123,780.0663933,636.1561,630.8799895,627.3055,622.8161339
0.001,150,0.012225934,651.3312378,0.003601762,646.4399081,780.0663933,636.1561,630.9330934,627.33734,622.8708405
0.001,150,0.012247551,651.4060669,0.003623379,646.5211099,780.0663933,636.1561,631.0173216,627.3878,622.9576107
0.001,150,0.012261743,651.4682007,0.003637571,646.5744206,780.0652742,638.68134,631.0726191,627.42096,623.0145772
0.001,150,0.012291371,651.5532837,0.003667199,646.6857148,780.0604618,634.34717,631.1880613,627.4902,623.1335034
0.001,150,0.012295183,651.6116943,0.003671011,646.7000341,780.0583697,634.34717,631.2029144,627.499,623.1488047
0.001,150,0.012327938,651.6858521,0.003703767,646.8230783,780.0572145,634.96497,631.3305444,627.57556,623.2802867
0.001,150,0.012331886,651.7414551,0.003707714,646.8379048,780.0572145,634.96497,631.3459235,627.5848,623.2961299
0.001,150,0.012370748,651.8140869,0.003746576,646.9838855,780.0537884,634.96497,631.4973449,627.67554,623.4521213
0.001,150,0.012375784,651.8515015,0.003751612,647.0028026,780.0537884,634.96497,631.5169671,627.6873,623.4723357
0.001,150,0.012396454,651.8944702,0.003772282,647.0804471,780.0537884,635.1905,631.5975055,627.7356,623.5553047
0.001,150,0.012415035,651.9215698,0.003790863,647.1502446,780.0537884,635.1905,631.6699043,627.77893,623.6298885
0.001,150,0.012440697,651.9439087,0.003816525,647.2466409,780.0537884,631.94086,631.7698934,627.83887,623.7328953
0.001,150,0.012455496,651.9474487,0.003831324,647.3022317,780.0570728,631.94086,631.827556,627.8735,623.7922982
0.001,150,0.012486542,651.9465942,0.00386237,647.4188525,780.0653578,631.94086,631.9485233,627.946,623.9169163
0.001,150,0.012498715,651.9222412,0.003874543,647.464579,780.0711737,631.94086,631.995954,627.9744,623.9657785
0.001,150,0.01252804,651.8983154,0.003903868,647.574735,780.134388,631.3685,632.1102156,628.0429,624.0834885
0.001,150,0.012557286,651.8648071,0.003933114,647.6845943,780.1574284,641.7142,632.2241694,628.11115,624.2008814
0.001,150,0.012581475,651.8182373,0.003957303,647.7754575,780.2031037,636.50214,632.3184191,628.16766,624.2979756
0.001,150,0.012584654,651.7539673,0.003960482,647.7873991,780.2059927,636.50214,632.3308057,628.1751,624.3107361
0.001,150,0.01263369,651.7245483,0.004009518,647.9715972,780.2347492,636.4302,632.521869,628.2897,624.5075657
0.001,150,0.012611975,651.6495972,0.003987803,647.8900273,780.2173419,635.894,632.4372589,628.2389,624.4204021
0.001,150,0.012666358,651.6079102,0.004042186,648.0943108,780.2893722,636.49146,632.6491562,628.3659,624.6386944
0.001,150,0.012670494,651.5379639,0.004046322,648.1098473,780.2893722,633.66925,632.6652717,628.3756,624.6552963
0.001,150,0.01270592,651.4941406,0.004081748,648.242921,780.3333528,633.87415,632.8033051,628.4584,624.7974956
0.001,150,0.012699204,651.427124,0.004075032,648.2176931,780.3333528,633.87415,632.777137,628.4427,624.7705377
0.001,150,0.012756684,651.4314575,0.004132512,648.4336102,780.4807393,634.3799,633.0011014,628.5769,625.0012614
0.001,150,0.012713579,651.406311,0.004089407,648.2716912,780.3500429,633.87415,632.8331475,628.47626,624.8282387
0.001,150,0.012782335,651.463623,0.004158163,648.5299653,780.5461769,635.1458,633.1010476,628.6368,625.104224
0.001,150,0.012777564,651.4993896,0.004153392,648.5120435,780.5336949,634.3799,633.0824579,628.6257,625.0850733
0.001,150,0.012801304,651.56073,0.004177132,648.6012202,780.5572349,635.4269,633.1749582,628.6811,625.1803652
0.001,150,0.012800133,651.6230469,0.004175961,648.5968214,780.5572349,635.4269,633.1703955,628.67834,625.1756648
0.001,150,0.012833014,651.7032471,0.004208842,648.7203352,780.5639583,634.9964,633.2985127,628.7552,625.3076486
0.001,150,0.012840651,651.7774048,0.004216479,648.7490227,780.5642713,634.9964,633.3282694,628.773,625.3383034
0.001,150,0.012857994,651.864624,0.004233822,648.8141697,780.5642713,639.23083,633.3958444,628.8135,625.4079179
0.001,150,0.012876662,651.965332,0.004252491,648.8842977,780.5661412,638.80286,633.4685861,628.8571,625.4828549
0.001,150,0.012903675,652.0692139,0.004279504,648.9857689,780.5664354,638.9841,633.5738392,628.9202,625.5912846
0.001,150,0.012934045,652.1732788,0.004309873,649.0998466,780.5664354,645.12726,633.6921686,628.99115,625.7131852
0.001,150,0.012950641,652.2578735,0.004326469,649.1621876,780.5669053,645.12726,633.7568331,629.0299,625.7798012
0.001,150,0.012980165,652.3358154,0.004355993,649.2730912,780.5696819,633.7831,633.8718701,629.0989,625.89831
0.001,150,0.012977848,652.3752441,0.004353676,649.2643876,780.5692391,636.57825,633.8628421,629.09344,625.8890096
0.001,150,0.012985492,652.4003906,0.00436132,649.2931014,780.5706527,633.7831,633.8926261,629.11127,625.9196925
0.001,150,0.01302123,652.4155884,0.004397058,649.4273472,780.5738901,636.8365,634.0318752,629.19476,626.0631442
0.001,150,0.013058987,652.4190674,0.004434815,649.5691771,780.5748453,642.6279,634.1789912,629.28296,626.2147001
0.001,150,0.013063441,652.3845825,0.004439269,649.585908,780.5748453,640.69586,634.1963457,629.29333,626.2325784
0.001,150,0.013090312,652.3527222,0.004466141,649.6868496,780.5748453,627.20715,634.3010494,629.3561,626.3404421
0.001,150,0.013124784,652.3224487,0.004500612,649.816336,780.5652253,632.4271,634.4353618,629.4366,626.4788081
0.001,150,0.01313901,652.270813,0.004514839,649.8697781,780.5652253,632.4271,634.4907957,629.46985,626.535915
0.001,150,0.013165539,652.2072754,0.004541367,649.9694275,780.5464464,636.3288,634.5941591,629.5318,626.6423979
0.001,150,0.013175949,652.1280518,0.004551778,650.0085353,780.5429032,634.2739,634.6347244,629.5561,626.6841875
0.001,150,0.013194783,652.0595703,0.004570611,650.0792793,780.5429032,634.2739,634.7081051,629.60004,626.7597828
0.001,150,0.013219832,651.9900513,0.004595661,650.1733768,780.5424583,634.4547,634.8057096,629.65857,626.860333
0.001,150,0.013225847,651.9281006,0.004601675,650.1959677,780.5424583,634.4547,634.8291425,629.67267,626.8844731
0.001,150,0.013261524,651.916748,0.004637352,650.3299843,780.542867,634.2842,634.9681539,629.7559,627.0276799
0.001,150,0.013263918,651.9150391,0.004639746,650.3389771,780.542867,634.2842,634.9774819,629.76154,627.0372894
