Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain
0.0001,27,0.10871,940.59745,0.00218
0.0001,27,0.10872,940.59574,0.00219
0.0001,27,0.10872,940.59387,0.00219
0.0001,27,0.10873,940.60869,0.0022
0.0001,27,0.10873,940.61622,0.0022
0.0001,27,0.10873,940.62387,0.0022
0.0001,27,0.10873,940.62582,0.0022
0.0001,27,0.10874,940.62421,0.00221
0.0001,27,0.10875,940.63578,0.00222
0.0001,27,0.10875,940.62813,0.00222
0.0001,27,0.10875,940.63902,0.00222
0.0001,27,0.10875,940.64081,0.00222
0.0001,27,0.10876,940.6463,0.00223
0.0001,27,0.10877,940.6502,0.00224
0.0001,27,0.10876,940.64599,0.00223
0.0001,27,0.10877,940.65874,0.00224
0.0001,27,0.10877,940.67123,0.00224
0.0001,27,0.10878,940.68123,0.00225
0.0001,27,0.10878,940.68908,0.00225
0.0001,27,0.10878,940.69189,0.00225
0.0001,27,0.10879,940.69987,0.00226
0.0001,27,0.10879,940.70542,0.00226
0.0001,27,0.10879,940.70318,0.00226
0.0001,27,0.1088,940.69691,0.00227
0.0001,27,0.1088,940.69537,0.00227
0.0001,27,0.10881,940.6988,0.00228
0.0001,27,0.10881,940.69487,0.00228
0.0001,27,0.10882,940.7072,0.00229
0.0001,27,0.10882,940.71415,0.00229
0.0001,27,0.10882,940.72453,0.00229
0.0001,27,0.10883,940.7378,0.0023
0.0001,27,0.10883,940.73858,0.0023
0.0001,27,0.10884,940.75138,0.00231
0.0001,27,0.10884,940.7595,0.00231
0.0001,27,0.10884,940.77024,0.00231
0.0001,27,0.10884,940.76581,0.00231
0.0001,27,0.10884,940.75234,0.00231
0.0001,27,0.10885,940.75438,0.00232
0.0001,27,0.10885,940.75672,0.00232
0.0001,27,0.10886,940.76334,0.00233
0.0001,27,0.10886,940.76507,0.00233
0.0001,27,0.10887,940.77725,0.00234
0.0001,27,0.10887,940.79243,0.00234
0.0001,27,0.10887,940.79562,0.00234
0.0001,27,0.10888,940.79637,0.00235
0.0001,27,0.10888,940.79164,0.00235
0.0001,27,0.10888,940.78785,0.00235
0.0001,27,0.10889,940.79263,0.00236
0.0001,27,0.10889,940.79181,0.00236
0.0001,27,0.1089,940.80677,0.00237
0.0001,27,0.1089,940.81089,0.00237
0.0001,27,0.1089,940.81096,0.00237
0.0001,27,0.10891,940.81157,0.00238
